25-04-10 08:39:23 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:23 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:27 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:27 WARN  | JWT 디코딩 실패: CharSequence cannot be null or empty.
25-04-10 08:39:27 INFO  | [AUTH] AccessToken 재발급 완료 : user2
25-04-10 08:39:27 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:27 WARN  | JWT 디코딩 실패: CharSequence cannot be null or empty.
25-04-10 08:39:27 INFO  | [AUTH] AccessToken 재발급 완료 : user2
25-04-10 08:39:27 INFO  | [AUTH] path: /login
25-04-10 08:39:27 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:39:28 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:28 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:28 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:28 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:30 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:39:31 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:31 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:31 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:31 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:35 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:39:36 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:36 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:36 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:36 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:38 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:39:38 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:38 INFO  | [AUTH] path: /view/chatView
25-04-10 08:39:38 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:39:38 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:01 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:02 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:02 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:04 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:04 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:04 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:04 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:07 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:43:08 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:08 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:08 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:08 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:21 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:43:22 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:22 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:22 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:22 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:51 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:51 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:51 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:51 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:57 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:57 INFO  | [AUTH] path: /view/chatView
25-04-10 08:43:57 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:43:57 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:44:02 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:44:03 INFO  | [AUTH] path: /view/chatView
25-04-10 08:44:03 INFO  | [AUTH] path: /view/chatView
25-04-10 08:44:03 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:44:03 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:44:32 INFO  | [AUTH] path: /view/chatListView
25-04-10 08:44:32 INFO  | [AUTH] path: /view/chatView
25-04-10 08:44:32 INFO  | [AUTH] path: /view/chatView
25-04-10 08:44:32 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:44:32 INFO  | [AUTH] path: /ws/chat/room1
25-04-10 08:46:37 INFO  | [AUTH] path: /view/chatView
25-04-10 08:46:37 INFO  | [AUTH] path: /view/chatView
